bag_id,alan,footprint_area_m2,bouwjaar,status,gebruiksdoel,class6_points,roof_p30_z_nap_m,roof_p70_z_nap_m,roof_p90_z_nap_m,roof_span_m,ground_ring_points,ground_z_nap_m,h_measured_m
0503100000023044,A,9.24,1966,Pand in gebruik,,207,0.050,0.150,0.250,0.200,1870,-1.950,2.100
0503100000023045,A,9.22,1966,Pand in gebruik,,238,0.050,0.150,0.150,0.100,1874,-1.950,2.100
0503100000023046,A,9.17,1966,Pand in gebruik,,235,0.150,0.250,0.250,0.100,1875,-1.850,2.100
0503100000023047,A,9.08,1966,Pand in gebruik,,228,0.250,0.350,0.350,0.100,2105,-1.650,2.000
0503100000023048,A,9.17,1966,Pand in gebruik,,242,0.150,0.150,0.250,0.100,1996,-1.950,2.100
0503100000023049,A,9.30,1966,Pand in gebruik,,230,0.150,0.250,0.250,0.100,1865,-1.950,2.200
0503100000023050,A,9.17,1966,Pand in gebruik,,239,0.150,0.250,0.250,0.100,1812,-2.050,2.300
0503100000023051,A,9.20,1966,Pand in gebruik,,243,0.150,0.250,0.250,0.100,2012,-1.950,2.200
0503100000023052,A,481.53,1965,Pand in gebruik,woonfunctie,31784,7.550,7.550,7.650,0.100,31083,-1.250,8.800
0503100000023053,A,675.60,1961,Pand in gebruik,woonfunctie,29906,14.150,14.150,14.250,0.100,25587,-0.150,14.300
0503100000023054,A,676.98,1961,Pand in gebruik,woonfunctie,23340,14.150,14.150,14.150,0.000,21581,-0.150,14.300
0503100000023056,B,5.93,1985,Pand in gebruik,,215,2.150,2.150,2.250,0.100,2578,-0.250,2.400
0503100000023057,B,5.13,1985,Pand in gebruik,,185,2.250,2.350,2.350,0.100,1829,-0.150,2.500
0503100000020891,B,346.70,2003,Pand in gebruik,,19385,2.250,2.350,2.350,0.100,14690,-1.150,3.500
0503100000020892,B,15.88,2003,Pand in gebruik,,745,1.850,2.150,2.450,0.600,1069,-1.250,3.400
0503100000019926,A,195.68,1961,Pand in gebruik,bijeenkomstfunctie,9624,6.650,6.650,6.650,0.000,15068,-0.350,7.000
0503100000019937,A,2088.16,1969,Pand in gebruik,woonfunctie,112438,26.450,48.850,48.950,22.500,36519,-1.750,50.600
0503100000019938,A,629.95,2002,Pand in gebruik,bijeenkomstfunctie,26586,1.850,2.350,3.850,2.000,23437,-1.650,4.000
0503100000019948,A,9.71,1966,Pand in gebruik,,460,1.050,1.050,1.050,0.000,3535,-1.350,2.400
0503100000019949,A,9.76,1966,Pand in gebruik,,493,1.050,1.050,1.050,0.000,3467,-1.450,2.500
0503100000019960,B,8048.71,1971,Pand in gebruik,"industriefunctie,kantoorfunctie",359046,8.050,8.250,26.150,18.100,81974,0.450,7.800
0503100000020954,B,4.91,1981,Pand in gebruik,,155,0.850,0.850,0.850,0.000,2680,-1.750,2.600
0503100000020955,B,4.91,1981,Pand in gebruik,,174,0.850,0.850,0.850,0.000,2980,-1.650,2.500
0503100000020956,B,4.91,1981,Pand in gebruik,,159,0.850,0.850,0.850,0.000,3052,-1.650,2.500
0503100000020957,B,4.91,1981,Pand in gebruik,,157,0.850,0.850,0.850,0.000,3099,-1.650,2.500
0503100000021417,B,64.81,1977,Pand in gebruik,woonfunctie,1586,4.050,6.450,7.450,3.400,2460,-1.050,7.500
0503100000020958,B,4.91,1981,Pand in gebruik,,171,0.850,0.850,0.850,0.000,3152,-1.550,2.400
0503100000021418,B,65.17,1977,Pand in gebruik,woonfunctie,1610,4.150,6.450,7.450,3.300,2353,-1.050,7.500
0503100000020959,B,4.91,1981,Pand in gebruik,,165,0.850,0.850,0.850,0.000,2926,-1.550,2.400
0503100000021419,B,64.35,1977,Pand in gebruik,woonfunctie,1572,4.250,6.450,7.450,3.200,2413,-1.050,7.500
0503100000020960,B,4.91,1981,Pand in gebruik,,166,0.850,0.850,0.850,0.000,2894,-1.550,2.400
0503100000021420,B,65.57,1977,Pand in gebruik,woonfunctie,1624,4.050,6.350,7.350,3.300,2546,-1.050,7.400
0503100000020961,B,4.91,1981,Pand in gebruik,,159,0.850,0.850,0.850,0.000,2790,-1.550,2.400
0503100000021421,B,61.65,1977,Pand in gebruik,woonfunctie,1504,4.250,6.450,7.450,3.200,2516,-1.050,7.500
0503100000020962,B,4.91,1981,Pand in gebruik,,174,0.850,0.850,0.850,0.000,2603,-1.550,2.400
0503100000021422,B,51.59,1977,Pand in gebruik,woonfunctie,1308,3.950,5.150,5.950,2.000,2130,-1.050,6.200
0503100000020963,B,43.07,1982,Pand in gebruik,woonfunctie,1469,5.450,7.250,8.050,2.600,4194,-1.550,8.800
0503100000021423,B,65.87,1977,Pand in gebruik,woonfunctie,1606,3.650,6.150,7.050,3.400,2890,-1.450,7.600
0503100000023605,A,14.34,1970,Pand in gebruik,overige gebruiksfunctie,455,2.150,2.250,2.250,0.100,727,-0.150,2.400
0503100000022178,B,6.23,1987,Pand in gebruik,,89,2.550,2.550,2.650,0.100,1414,0.150,2.400
0503100000023606,A,14.35,1970,Pand in gebruik,overige gebruiksfunctie,439,2.150,2.150,2.250,0.100,1400,-0.150,2.300
0503100000022179,B,6.27,1987,Pand in gebruik,,113,2.550,2.550,2.550,0.000,1171,0.150,2.400
0503100000023129,B,5.15,1985,Pand in gebruik,,176,2.250,2.350,2.350,0.100,2040,-0.050,2.400
0503100000022180,B,6.23,1987,Pand in gebruik,,110,2.550,2.550,2.550,0.000,1543,0.150,2.400
0503100000023130,B,5.15,1985,Pand in gebruik,,180,2.250,2.350,2.350,0.100,2517,-0.050,2.400
0503100000022181,B,6.30,1987,Pand in gebruik,,114,2.550,2.550,2.550,0.000,1538,0.150,2.400
0503100000023131,B,5.93,1985,Pand in gebruik,,205,2.150,2.150,2.150,0.000,3008,-0.150,2.300
0503100000023607,A,14.35,1970,Pand in gebruik,overige gebruiksfunctie,456,2.150,2.250,2.250,0.100,727,-0.150,2.400
0503100000023132,B,5.93,1985,Pand in gebruik,,182,2.150,2.150,2.250,0.100,2527,-0.250,2.400
0503100000023608,A,14.35,1970,Pand in gebruik,overige gebruiksfunctie,445,2.150,2.150,2.150,0.000,1418,-0.150,2.300
0503100000023133,B,5.96,1985,Pand in gebruik,,197,2.250,2.350,2.350,0.100,2006,-0.150,2.500
0503100000023609,A,14.34,1970,Pand in gebruik,overige gebruiksfunctie,450,2.150,2.250,2.250,0.100,725,-0.150,2.400
0503100000023134,B,5.92,1985,Pand in gebruik,,177,2.250,2.250,2.350,0.100,2606,-0.150,2.400
0503100000023610,A,14.34,1970,Pand in gebruik,overige gebruiksfunctie,453,2.150,2.250,2.250,0.100,758,-0.250,2.500
0503100000023135,B,6.00,1985,Pand in gebruik,,187,2.250,2.350,2.350,0.100,1976,-0.150,2.500
0503100000023611,A,14.35,1970,Pand in gebruik,overige gebruiksfunctie,456,2.150,2.250,2.250,0.100,1392,-0.150,2.400
0503100000023136,B,5.96,1985,Pand in gebruik,,201,2.250,2.250,2.350,0.100,2471,-0.150,2.400
0503100000023612,A,14.32,1970,Pand in gebruik,overige gebruiksfunctie,442,2.250,2.250,2.250,0.000,2393,-0.150,2.400
0503100000023137,B,5.91,1985,Pand in gebruik,,63,2.250,2.350,2.350,0.100,2762,-0.150,2.500
0503100000023613,A,14.35,1970,Pand in gebruik,overige gebruiksfunctie,446,2.250,2.250,2.250,0.000,1798,-0.150,2.400
0503100000023138,B,6.04,1985,Pand in gebruik,,185,2.250,2.350,2.350,0.100,1983,-0.150,2.500
0503100000023614,A,14.27,1970,Pand in gebruik,overige gebruiksfunctie,444,2.250,2.250,2.250,0.000,1973,-0.150,2.400
0503100000023139,B,5.97,1985,Pand in gebruik,,188,2.250,2.250,2.350,0.100,2562,-0.150,2.400
0503100000023615,A,14.35,1970,Pand in gebruik,overige gebruiksfunctie,452,2.150,2.250,2.250,0.100,1253,-0.150,2.400
0503100000023140,B,5.94,1985,Pand in gebruik,,194,2.250,2.350,2.350,0.100,1897,-0.150,2.500
0503100000023616,A,14.34,1970,Pand in gebruik,overige gebruiksfunctie,461,2.250,2.250,2.250,0.000,2036,-0.150,2.400
0503100000023141,B,5.90,1985,Pand in gebruik,,193,2.250,2.250,2.350,0.100,2418,-0.150,2.400
0503100000023617,A,14.35,1970,Pand in gebruik,overige gebruiksfunctie,464,2.250,2.250,2.250,0.000,1480,-0.150,2.400
0503100000023142,B,5.15,1985,Pand in gebruik,,170,2.150,2.150,2.250,0.100,2945,-0.250,2.400
0503100000023618,A,14.35,1970,Pand in gebruik,overige gebruiksfunctie,447,2.250,2.250,2.250,0.000,1464,-0.150,2.400
0503100000023143,B,5.15,1985,Pand in gebruik,,179,2.150,2.150,2.250,0.100,3017,-0.250,2.400
0503100000023619,A,14.35,1970,Pand in gebruik,overige gebruiksfunctie,478,2.250,2.250,2.250,0.000,1454,-0.150,2.400
0503100000023144,B,5.12,1985,Pand in gebruik,,175,2.150,2.250,2.250,0.100,3083,-0.250,2.500
0503100000023620,A,14.34,1970,Pand in gebruik,overige gebruiksfunctie,449,2.150,2.250,2.250,0.100,749,-0.150,2.400
0503100000023145,B,5.15,1985,Pand in gebruik,,173,2.150,2.150,2.250,0.100,2659,-0.250,2.400
0503100000023621,A,14.35,1970,Pand in gebruik,overige gebruiksfunctie,465,2.150,2.250,2.250,0.100,1424,-0.150,2.400
0503100000023146,B,5.14,1985,Pand in gebruik,,179,2.150,2.250,2.250,0.100,2668,-0.250,2.500
0503100000023622,A,14.34,1970,Pand in gebruik,overige gebruiksfunctie,466,2.150,2.150,2.250,0.100,745,-0.150,2.300
0503100000023147,B,5.15,1985,Pand in gebruik,,175,2.150,2.150,2.250,0.100,2753,-0.250,2.400
0503100000023623,A,14.34,1970,Pand in gebruik,overige gebruiksfunctie,461,2.150,2.250,2.250,0.100,746,-0.150,2.400
0503100000023148,B,5.16,1985,Pand in gebruik,,177,2.150,2.150,2.250,0.100,2789,-0.250,2.400
0503100000023624,A,14.35,1970,Pand in gebruik,overige gebruiksfunctie,457,2.150,2.150,2.250,0.100,1391,-0.150,2.300
0503100000023149,B,5.15,1985,Pand in gebruik,,173,2.150,2.150,2.250,0.100,2562,-0.250,2.400
0503100000023625,A,14.35,1970,Pand in gebruik,overige gebruiksfunctie,455,2.150,2.150,2.250,0.100,746,-0.150,2.300
0503100000023150,B,5.93,1985,Pand in gebruik,,190,2.150,2.150,2.250,0.100,2805,-0.150,2.300
0503100000023626,A,14.35,1970,Pand in gebruik,overige gebruiksfunctie,454,2.150,2.150,2.150,0.000,1399,-0.150,2.300
0503100000023151,B,5.93,1985,Pand in gebruik,,198,2.150,2.150,2.250,0.100,2903,-0.150,2.300
0503100000023627,A,14.35,1970,Pand in gebruik,overige gebruiksfunctie,452,2.150,2.150,2.250,0.100,1449,-0.150,2.300
0503100000023152,B,5.13,1985,Pand in gebruik,,164,2.250,2.350,2.350,0.100,2340,-0.150,2.500
0503100000023153,B,5.93,1985,Pand in gebruik,,203,2.150,2.150,2.250,0.100,2430,-0.150,2.300
0503100000023154,B,5.18,1985,Pand in gebruik,,158,2.250,2.350,2.350,0.100,1564,-0.050,2.400
0503100000023155,B,5.19,1985,Pand in gebruik,,111,2.350,2.350,2.450,0.100,2071,-0.150,2.500
0503100000023156,B,5.93,1985,Pand in gebruik,,197,2.150,2.250,2.250,0.100,2034,-0.150,2.400
