bag_id,footprint_area_m2,point_count,roof_density_pts_m2,below_10,has_dwellings
0503100000015301,9.21,540,58.66,false,false
0503100000015302,9.24,541,58.57,false,false
0503100000015303,9.17,323,35.24,false,false
0503100000015304,52.54,2071,39.42,false,true
0503100000015305,70.14,4156,59.25,false,true
0503100000015306,52.66,3106,58.98,false,true
0503100000015307,51.47,2148,41.73,false,true
0503100000015308,9.22,535,58.01,false,false
0503100000015309,9.21,551,59.84,false,false
0503100000015310,9.16,529,57.75,false,false
0503100000015311,9.12,533,58.43,false,false
0503100000015312,52.66,3160,60.01,false,true
0503100000015313,9.18,546,59.48,false,false
0503100000015314,51.67,3233,62.56,false,true
0503100000015315,8.95,644,71.96,false,false
0503100000015316,50.92,2867,56.30,false,true
0503100000015317,52.66,3148,59.78,false,true
0503100000015318,54.58,2989,54.76,false,true
0503100000014835,59.22,2092,35.33,false,true
0503100000014836,51.97,1788,34.40,false,true
0503100000014837,53.71,2023,37.67,false,true
0503100000014838,54.20,2247,41.45,false,true
0503100000014839,9.20,496,53.92,false,false
0503100000014840,9.25,751,81.17,false,false
0503100000014841,9.39,373,39.72,false,false
0503100000014842,9.29,340,36.61,false,false
0503100000014843,51.96,1693,32.58,false,true
0503100000014844,9.24,744,80.50,false,false
0503100000014845,71.37,3332,46.68,false,true
0503100000014846,9.26,299,32.28,false,false
0503100000014847,51.71,1899,36.73,false,true
0503100000014848,56.73,2121,37.38,false,true
0503100000014849,9.25,338,36.52,false,false
0503100000014850,66.14,2181,32.98,false,true
0503100000014851,9.25,404,43.68,false,false
0503100000014852,52.91,1880,35.53,false,true
0503100000014853,9.25,345,37.31,false,false
0503100000014854,53.11,2155,40.57,false,true
0503100000014855,9.23,341,36.95,false,false
0503100000014856,9.37,782,83.47,false,false
0503100000014857,9.25,390,42.17,false,false
0503100000014858,9.29,312,33.58,false,false
0503100000015400,9.15,418,45.68,false,false
0503100000015401,9.14,521,57.00,false,false
0503100000015402,54.56,3419,62.66,false,true
0503100000015403,9.28,479,51.62,false,false
0503100000015404,51.68,2895,56.02,false,true
0503100000015405,51.99,3301,63.49,false,true
0503100000015406,52.10,4273,82.02,false,true
0503100000015407,9.40,556,59.13,false,false
0503100000015408,50.93,2903,56.99,false,true
0503100000015409,50.59,2835,56.04,false,true
0503100000015410,52.91,3027,57.21,false,true
0503100000015411,9.00,357,39.65,false,false
0503100000015412,50.59,2834,56.02,false,true
0503100000015413,50.59,2828,55.90,false,true
0503100000015414,52.00,3074,59.11,false,true
0503100000015415,52.92,2858,54.01,false,true
0503100000015416,50.89,2896,56.90,false,true
0503100000015417,9.39,342,36.42,false,false
0503100000015418,52.80,2981,56.45,false,true
0503100000015419,9.24,365,39.48,false,false
0503100000015420,66.26,3629,54.77,false,true
0503100000015421,9.17,544,59.35,false,false
0503100000015422,9.32,528,56.67,false,false
0503100000015423,9.07,502,55.33,false,false
0503100000015424,50.64,1838,36.29,false,true
0503100000015425,50.65,1764,34.83,false,true
0503100000015426,9.27,545,58.79,false,false
0503100000015427,9.24,538,58.25,false,false
0503100000015428,52.90,2893,54.69,false,true
0503100000015429,9.13,552,60.45,false,false
0503100000015430,9.33,553,59.25,false,false
0503100000015431,52.90,2929,55.36,false,true
0503100000015432,52.04,1865,35.84,false,true
0503100000019096,52.67,1567,29.75,false,true
0503100000019097,9.17,289,31.51,false,false
0503100000019098,52.48,2745,52.31,false,true
0503100000019099,52.49,2389,45.52,false,true
0503100000019100,52.48,2665,50.78,false,true
0503100000019101,9.18,436,47.47,false,false
0503100000019102,52.83,1582,29.94,false,true
0503100000019103,52.64,1395,26.50,false,true
0503100000019104,52.64,1361,25.86,false,true
0503100000019105,52.62,1366,25.96,false,true
0503100000019106,52.60,1433,27.24,false,true
0503100000019107,52.57,2043,38.86,false,true
0503100000019108,52.48,2589,49.33,false,true
0503100000019109,52.47,2625,50.03,false,true
0503100000019110,52.48,2600,49.54,false,true
0503100000019111,52.48,2602,49.58,false,true
0503100000019112,52.48,2445,46.59,false,true
0503100000019113,52.48,1586,30.22,false,true
0503100000019114,52.47,1818,34.65,false,true
0503100000019115,52.13,2791,53.53,false,true
0503100000019116,52.45,2570,49.00,false,true
0503100000019117,52.45,2545,48.52,false,true
0503100000019513,52.70,1807,34.29,false,true
0503100000019514,52.69,1799,34.14,false,true
0503100000019517,52.28,1829,34.98,false,true
0503100000019518,52.28,1920,36.73,false,true
0503100000019519,52.30,2024,38.70,false,true
0503100000019520,52.28,1910,36.54,false,true
0503100000019521,9.19,343,37.32,false,false
0503100000019522,9.56,356,37.24,false,false
0503100000019523,9.25,337,36.42,false,false
0503100000019524,9.02,310,34.38,false,false
0503100000019525,9.67,343,35.47,false,false
0503100000019526,9.29,334,35.94,false,false
0503100000019527,9.62,372,38.68,false,false
0503100000019528,9.44,329,34.86,false,false
0503100000019529,8.97,332,37.01,false,false
0503100000019530,9.54,353,37.01,false,false
0503100000019531,9.28,607,65.38,false,false
0503100000019532,8.85,327,36.94,false,false
0503100000019533,9.50,344,36.20,false,false
0503100000019534,52.35,1834,35.04,false,true
0503100000019535,52.34,1856,35.46,false,true
0503100000019536,52.35,1856,35.46,false,true
0503100000019537,52.34,1845,35.25,false,true
0503100000019538,52.34,1870,35.73,false,true
0503100000019539,52.34,2057,39.30,false,true
0503100000019540,9.22,355,38.49,false,false
0503100000019541,9.24,363,39.27,false,false
0503100000019542,9.22,328,35.56,false,false
0503100000019543,9.22,348,37.75,false,false
0503100000019544,9.26,364,39.32,false,false
0503100000019545,9.23,335,36.31,false,false
0503100000019546,9.22,337,36.53,false,false
0503100000020027,61.42,3495,56.91,false,true
0503100000020029,9.20,549,59.66,false,false
0503100000020031,9.80,531,54.16,false,false
0503100000018687,1955.80,101271,51.78,false,true
0503100000018688,1572.31,78928,50.20,false,true
0503100000018689,464.99,17365,37.35,false,true
0503100000018690,2100.60,86290,41.08,false,true
0503100000018691,53.28,1578,29.62,false,true
0503100000019194,52.45,2556,48.73,false,true
0503100000018692,52.92,1543,29.16,false,true
0503100000019195,52.46,2510,47.85,false,true
0503100000018693,52.52,2722,51.83,false,true
0503100000019196,52.45,2612,49.80,false,true
0503100000018694,52.52,2160,41.12,false,true
0503100000019197,52.45,2523,48.10,false,true
0503100000019198,52.45,2593,49.44,false,true
0503100000018695,52.52,1629,31.02,false,true
0503100000019199,9.19,492,53.52,false,false
0503100000018696,10.18,411,40.39,false,true
0503100000019200,9.17,437,47.65,false,false
0503100000018697,16.80,627,37.31,false,false
0503100000019201,9.17,494,53.89,false,false
0503100000018698,50.32,1439,28.60,false,true
0503100000019202,9.21,477,51.79,false,false
0503100000018699,50.32,1441,28.64,false,true
0503100000019203,9.18,459,49.99,false,false
0503100000019204,9.17,450,49.06,false,false
0503100000018700,51.21,1615,31.54,false,true
0503100000019205,9.17,458,49.93,false,false
0503100000018701,52.71,1535,29.12,false,true
0503100000019206,9.17,460,50.15,false,false
0503100000019207,9.13,245,26.84,false,false
0503100000019208,9.17,252,27.48,false,false
0503100000019209,9.13,416,45.56,false,false
0503100000019210,9.17,282,30.74,false,false
0503100000019211,9.17,403,43.93,false,false
0503100000018704,52.39,1654,31.57,false,true
0503100000019212,9.17,442,48.18,false,false
0503100000018705,52.37,1479,28.24,false,true
0503100000019213,9.17,454,49.50,false,false
0503100000019214,9.19,479,52.11,false,false
0503100000018706,53.76,1611,29.96,false,true
0503100000019215,9.15,436,47.64,false,false
0503100000018707,52.30,1509,28.85,false,true
0503100000019216,9.17,453,49.40,false,false
0503100000018708,803.26,69488,86.51,false,true
0503100000019217,9.17,452,49.28,false,false
0503100000018709,85.54,2353,27.51,false,true
0503100000019218,9.19,475,51.67,false,false
0503100000019219,9.17,417,45.47,false,false
0503100000019220,9.14,465,50.88,false,false
0503100000019221,9.04,420,46.45,false,false
0503100000019222,9.34,420,44.97,false,false
0503100000019223,52.72,2755,52.25,false,true
0503100000019224,52.67,2472,46.94,false,true
0503100000019225,52.60,2466,46.88,false,true
0503100000019226,52.55,2430,46.24,false,true
0503100000019227,9.17,427,46.55,false,false
0503100000019617,9.20,348,37.83,false,false
0503100000019618,9.30,334,35.92,false,false
0503100000019619,52.13,1822,34.95,false,true
0503100000019620,52.16,1808,34.66,false,true
0503100000019621,52.18,1832,35.11,false,true
0503100000019622,52.20,1847,35.38,false,true
0503100000019623,52.23,1822,34.89,false,true
0503100000019624,52.25,1852,35.45,false,true
0503100000019625,52.28,2025,38.73,false,true
0503100000019626,52.74,1910,36.22,false,true
0503100000019627,52.69,1871,35.51,false,true
0503100000019628,52.64,1870,35.53,false,true
0503100000019629,52.64,2045,38.85,false,true
0503100000019630,52.63,1801,34.22,false,true
0503100000019631,52.63,1826,34.69,false,true
0503100000019632,52.63,1799,34.18,false,true
0503100000019633,9.67,340,35.17,false,false
0503100000019634,9.45,344,36.40,false,false
0503100000019635,9.00,333,37.00,false,false
0503100000019636,9.06,323,35.67,false,false
0503100000019637,8.76,377,43.02,false,false
0503100000019638,8.93,321,35.96,false,false
0503100000019639,9.50,330,34.75,false,false
0503100000019640,9.59,364,37.95,false,false
0503100000019641,9.02,329,36.48,false,false
0503100000019642,9.08,293,32.26,false,false
0503100000019643,9.52,358,37.59,false,false
0503100000019644,9.44,325,34.44,false,false
0503100000019645,8.99,319,35.49,false,false
0503100000020129,1970.98,121207,61.50,false,true
0503100000020130,1325.14,54554,41.17,false,true
0503100000020131,53.01,1575,29.71,false,true
0503100000020134,9.74,494,50.74,false,false
0503100000020135,9.72,439,45.15,false,false
0503100000020136,9.72,470,48.35,false,false
0503100000020137,9.72,437,44.94,false,false
0503100000020138,9.76,488,49.99,false,false
0503100000018783,10.65,555,52.12,false,true
0503100000020139,9.72,467,48.02,false,false
0503100000018784,152.90,5469,35.77,false,true
0503100000020140,9.72,441,45.35,false,false
0503100000018785,55.27,3342,60.47,false,true
0503100000020141,9.74,416,42.69,false,false
0503100000018786,55.34,3343,60.40,false,true
0503100000020142,9.72,455,46.79,false,false
0503100000018787,55.41,3445,62.18,false,true
0503100000020143,9.72,488,50.19,false,false
0503100000018788,50.52,1683,33.31,false,true
0503100000020144,9.73,453,46.56,false,false
0503100000018789,50.53,1528,30.24,false,true
0503100000018790,50.53,1520,30.08,false,true
0503100000018791,50.53,1497,29.62,false,true
0503100000018792,50.52,1503,29.75,false,true
0503100000018793,50.31,1541,30.63,false,true
0503100000020150,9.72,589,60.62,false,false
0503100000018794,52.73,1509,28.62,false,true
0503100000020151,9.78,597,61.05,false,false
0503100000018795,52.72,1497,28.39,false,true
0503100000020152,9.80,606,61.84,false,false
0503100000018796,52.73,1481,28.09,false,true
0503100000020153,9.77,594,60.79,false,false
0503100000018797,52.44,1647,31.41,false,true
0503100000019292,356.03,19418,54.54,false,true
0503100000020154,9.72,827,85.09,false,false
0503100000018798,52.44,1513,28.85,false,true
0503100000019293,207.81,12203,58.72,false,true
0503100000020155,9.79,592,60.44,false,false
0503100000018799,52.42,1492,28.46,false,true
0503100000019294,207.85,9613,46.25,false,true
0503100000020156,9.72,568,58.46,false,false
0503100000018800,52.42,1452,27.70,false,true
0503100000019295,207.94,6705,32.24,false,true
0503100000018801,52.40,1456,27.78,false,true
0503100000019296,301.76,21856,72.43,false,true
0503100000019297,9.17,257,28.02,false,false
0503100000018802,52.39,1382,26.38,false,true
0503100000019298,9.18,276,30.08,false,false
0503100000020160,9.74,590,60.58,false,false
0503100000018803,52.40,1464,27.94,false,true
0503100000019299,9.13,265,29.03,false,false
0503100000019684,354.90,11296,31.83,false,true
0503100000020161,9.72,542,55.78,false,false
0503100000019300,9.13,264,28.92,false,false
0503100000018804,53.41,1628,30.48,false,true
0503100000019685,323.24,10212,31.59,false,true
